Korean	English	New-Ensata	Notes
~~	~~	~~	Lithuanian language (lt) notes from Xenobius2501
국왕직할령	Royal Territory	~~	
대삼림지대	Grand Forest Region	Great Woodlands	
페디미안 직할령	Fedimian Territory	~~	
로무바 성역	Romuva Sacred Precinct	Romuvan Sanctum	
클라페다 령	Klaipeda District	Klaipeda Region	
별깃든 호수	Star-lit Lake Area	Starlit Lake	
칼리스 지방	Kaliss Province	~~	
페디미안	Fedimian	Fedimia	en: a word ending with “-an” makes it mean “of Fedimia”
클라페다	Klaipeda	~~	
하이랜더 마스터의 도장	Highlander Master's Training Hall	Highlander Master's Dojo	Dojo is often used for a melee training hall
보코르 마마의 집	Bokor Mama's House	Bokor Master's Home	Obsolete - Korean map name was changed
파이로맨서 마스터의 연구실	Pyromancer Master's Lab	~~	
용병의뢰소	Mercenary Post	Mercenary Agency	lit. mercenary request-location
샤울레이 서쪽 숲	West Siauliai Woods	~~	
샤울레이 동쪽 숲	East Siauliai Woods	~~	
광산마을(구 샤울레이 외곽숲)	Miners' Village	Mining Village	ko: actually lit. Mine Village
수정광산 1층	Crystal Mine 1st Gallery	Crystal Mine 1F	
수정광산 2층	Crystal Mine 2nd Gallery	xxx 2F	
수정광산 3층	Crystal Mine 3rd Gallery	xxx 3F	
은수협곡	Silver Stream Gorge	Silverstream Gorge	
너울 고원	Leaf Veil Plateau	Veiled Plateau	
옥빛서린 벼랑	Jadefilled Cliff	Emerald Bluffs	green-gemstone
내린나무 화원	Descended Tree Garden	Fallen Tree Garden	
테넷 성당 지하 1층	Tenet Chapel Basement1	xxx B1	
테넷 성당 지상 1층	Tenet Chapel 1st Floor	xxx 1F	
테넷 성당 지상 2층	Tenet Chapel 2nd Floor	xxx 2F	
풀가람 터	Grass Brook Side	Grassy Brookside	
마름포석골	Rhombuspaving Dale	~~	
쪽빛나무 고원	Indigo Trees Plateau	Bluewood Plateau	avoid possible copyright issue
칠채고원평	Seven Hues Mesa	Seventune Mesa	
카틴 숲 입구	Entrance of Kateen Forest	Katyne Forest Entrance	
희미한 묘지	Gleamy Burial Ground	Dimlit Cemetery	
수정광산 2광구 1층	2nd Mine Lot 1st Gallery	Crystal Mine Lot 2 - 1F	
수정광산 2광구 2층	2nd Mine Lot 2nd Gallery	Crystal Mine Lot 2 - 2F	
구슬빛 샘터	Beadshine Fountain	~~	
잊혀진 나루	Forgotten Port	~~	
단층지	Fault Line	Faultline	
큰뿌리 벌	Great Root Plain	Greatroot Plains	
덧댄다리 숲	Woods of Attatched Bridge		
무지개 연못	Rainbow Pond		
자루머리 고개	Top Grip Peak		
관문로	Gate Route		
가시마음골	Spine Heart Dale	Spineheart Dale	
낙우림	Fallen Worry Forest		
영혼고개	Soul Peak	Soulpeak	
해진깃발숲	Sunset Flag Forest		
대왕의 관문	Gateway of Great King	Gateway of the Great King	
부러진 기둥 협곡	Broken Pillar Canyon		
긴다리 계곡	Overlong Bridge Valley		
석주대	Stone Pole Platform		
돌다리망터	Awaiting Stone Bridge		
무무고원	Dense Mist Plateau		ko: I have no idea. It says Moo Moo Plateau.
왕의 고원	Plateau of Rex		
굽어보는 교차로	Overlooking Crossroad		
왕릉 1층	Royal Mausoleum 1st district	xxx 1F	
왕릉 2층	Royal Mausoleum 2nd district	xxx 2F	
왕릉 3층	Royal Mausoleum 3rd district	xxx 3F	
왕릉 4층	Royal Mausoleum 4th district	xxx 4F	
왕릉 5층	Royal Mausoleum 5th district	xxx 5F	
높이굽은 길	High Crooked Road		
여신의 옛뜰	Ancient Garden of Goddess	Goddess' Ancient Garden	
머무르는 나뭇골	Remaining Tree Dale		
수정개울	Crystal Brook		
마법사의 탑 1층	Mage Tower 1st Floor	xxx 1F	
마법사의 탑 2층	Mage Tower 2nd Floor	xxx 2F	
마법사의 탑 3층	Mage Tower 3rd Floor	xxx 3F	
마법사의 탑 4층	Mage Tower 4th Floor	xxx 4F	
마법사의 탑 5층	Mage Tower 5th Floor	xxx 5F	
큰아귀 길	Starving Demon's Road	Starving Demon's Way	
빛내린 땅	Ray-lit Land	Rayfallen Land	
흩어진 계단	Scattered Stairway		
적갈나무 단층숲	Purple Tree Fault Forest		
가식의 교각로	Intersection of Pretense		
본당	Main Chamber		
대회랑	Grand Corridor		
대성당의 참회로	Penitence Route of Cathedral		
지성소	Sanctuary		
봄볕나무 숲	Spring Light Wood	Springlight Wood	
흔들리는 경작지	Swaying Arable Land		
세개울 숲	Three Brooks Wood	Trybrook Wood	
물과나무노래 숲	Water Tree-song Forest		
통곡의 광장	Square of Lamentation	Square of Lament	
스산한 장터	Lonesome Marketplace	Deserted Market	
루클리스 거리	Ruklys Street	Ruklio Road	lt: lt possessive case for name, Ruklys - en: fancy alliteration
중심시가	Downtown Street	Downtown	
내성곽지구	Inner Enceinte District		
전초구역	Sentry Bailey		
대립의 훈련장	Drill Ground of Confliction		
거주구역	Resident Quarter		
저장구역	Storage Quarter		
갈라진 전투로	Forked Combat Boulevard		
하늘지친 고원	Skyweary Mesa		
큰고립 고원	Grand Isolated Mesa		
쉬어가는 유형지	Relaxed Penal Colony		
하늘지른 벼랑	Skyscraper Cliff		
강철 고원	Steel Heights		
학살자의 접견소	Reception Room of Slaughterer		
영혼의 보관실	Sacristy of Souls		
분열의 독방구역	Solitary Cells of Soul Fission		
융합의 작업장	Workshop of Soul Fusion		
영혼의 고문소	Torture Room of Souls		
청람머문 숲	Deep Indigo Forest		
꽃모자른 숲	Flowerless Forest		
점층바위 숲	Forest of Incremental Rocks	Layered Rock Forest	
휜개울 목	Bended Streamlet Location		
밀실	Secret Room		
화살길	Arrow Road		
칼빛 분지	Bladelight Basin		
베야 골짜기	Veja Ravine	Vejos Ravine	lt: veja means grass lawn.  
비에타 계곡	Vieta gorge	Vietos Gorge	lt: vieta means place, not much sense here at all.  
코발트 숲	Cobalt Forest		
셉티니 골	Septyni Glen	Septyntas / Septyniu Glen	lt: septyni is a numerical, seven. Septyntas = Seventh Glen OR Septyniu = Glen of the Seven
부엉이 묘지	Owl Burial Ground		
카롤리스 샘터	Karolis Fountain	Karolio Fountain	lt: Karolis is a person's name, possessive form
파우피스 나루(터)	Paupys Port	Paupio Port	lt: paupys means riverside, so it's a riverside port. 
포슬린키스 숲	Poslinkis Forest	Poslinkio / Paslinkes Forest	lt: poslinkis is a slip, so perhaps a slipping forest? 
사크니스 벌판	Saknis Plains	Saknies / Sakniu Plains - sg. vs pl.	lt: saknis means root,  Great Root Plain - duplicate?
렘파라사 연못	Lemprasa Pond		
쿨레 고개	Kule Peak		
시르드겔라 숲	Sirdgela Forest	Sirdgelos Forest	lt: sirdgela is heartache,  name is okay-ish, except correct case would be Sirdgelos. 
크바일라스 숲	Kvailas Forest	Kvailio / Kvailiu Forest	lt: Stupid Forest. Literally. If Fool's Forest was intended it had to be Kvailio Forest.  
드바시아 고개	Dvasia Peak	Dvasios / Dvasiu Peak - sg. vs pl.	lt: Peak of Souls or Soul's Peak
람스티스 협곡	Ramstis Ridge	Ramscio / Ramsciu Ridge  - sg. vs pl.	lt: Pillar Ridge 
아크멘스 능선	Akmens Ridge	Akmenu Ridge (plural)	lt: Stone's Ridge.  possessive form is used correctly,  
틸타스 협곡	Tiltas Valley	Tilto / Tiltu Valley	lt: Bridge Valley. Overlong Bridge Valley - duplicate? 
루카스 고원	Rukas Plateau	Ruko Plateau	lt: Rukas means mist. Dense Mist Plateau - duplicate?
자카리엘 교차로	Zachariel Crossroad		
비석로	Stele Road		
에산치우 마을	Escanciu Village	Jeskanchu Village	lt: Bad phonetics - lt word ieškančių - possessive case, means Seekers . pronounced like Yesh-kan-chuu
페디미안 외곽	Fedimian Suburbs		
필그림 들길	Pilgrim Path		
제단로	Altary Way		
기원의 숲	Forest of Prayer		
압시메스티 교차로	Apsimesti Crossroad		lt: to pretend - Apsimetinejimo means “of pretending”, Apsimetes means “Pretending”
우키스 경작지	Uskis Arable Land		
빌나 숲	Vilna Forest		lt: Need more info - “vilna” means wool, so “Vilnos Forest” OR “Vilnia” was a river name, so “Vilnios Forest”
다이나 양봉단지	Bee Farm		
베르크티 광장	Verkti Square		lt: “to cry” — crying = “Verkiantis Square” OR “square of cries” = “Verksmu Square”
록소나 장터	Roxona Marketplace		
대지의 요새 결전지	Fortress Battle Field of the earth	Great Earth Fortress - Battlefield	
이브레고원	Ibre Plateau		
마당 고원big	Grand Yard Mesa		
